"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BASS,TREBLE,VOL";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";3;"100k";;;
2;"C10";"CP_Radial_D8.0mm_P5.00mm";1;"100u";;;
3;"9V1";"9vholder";1;"Battery";;;
4;"Jack1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x03";;;
5;"R28,R22,R19,R27,R30,R31";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"2.2k";;;
6;"PickupInputs1";"Pin_Header_Straight_1x10_Pitch2.54mm";1;"Conn_01x10";;;
7;"BridgeTonePot1,NeckTonePot1,BridgeVolPot1,NeckVolumePot1";"Pin_Header_Straight_2x07_Pitch2.54mm";4;"Conn_02x07_Odd_Even";;;
8;"6pdt2,6pdt1";"6pdtFP";2;"Conn_02x09_Odd_Even";;;
9;"TRANGAIN1";"Potentiometer_Bourns_3386P_Vertical";1;"250k";;;
10;"3WaySwitch1";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Conn_01x04";;;
11;"4pdt1";"4pdtFP";1;"Conn_02x06_Counter_Clockwise";;;
12;"C1,C17";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"22n";;;
13;"C2,C6";"C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"47p";;;
14;"C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10n";;;
15;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1n";;;
16;"C5";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"100n";;;
17;"C7";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"47n";;;
18;"C8,C25,C26";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"470p";;;
19;"C11,C15,C20";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"100n";;;
20;"C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220p";;;
21;"C13,C22";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10n";;;
22;"C14,C19";"CP_Radial_D5.0mm_P2.00mm";2;"22u";;;
23;"C16";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"4.7n";;;
24;"C18,C23";"C_2816_7142Metric_Pad3.20x4.45mm_HandSolder";2;"220n";;;
25;"C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.2n";;;
26;"C24,C27";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;".022u";;;
27;"D1,D2,D4,D5";"LED_D3.0mm";4;"LED";;;
28;"D3";"LED_D3.0mm";1;"D";;;
29;"GROUNDBRIDGE1";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"Conn_01x01";;;
30;"Q1,Q2";"TO-92_Inline_Narrow_Oval";2;"ZTX951";;;
31;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1MEG";;;
32;"R2,R29";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470k";;;
33;"R3,R8,R17,R18,R35";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"10k";;;
34;"R4,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"330k";;;
35;"R5,R9,R10,R13,R14,R21,R25,R32";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"22k";;;
36;"R6,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"250k";;;
37;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7k";;;
38;"R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"39k";;;
39;"R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10";;;
40;"R20,R24";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20k";;;
41;"R23,R26";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"33k";;;
42;"R33,R36";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100k";;;
43;"R34";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3.3K";;;
44;"RANGE1";"Potentiometer_Bourns_3386P_Vertical";1;"100k";;;
45;"TIGHT";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";1;"100kREV";;;
46;"TRBLD1";"TrebBldDIP";1;"Conn_02x02_Top_Bottom";;;
47;"U1,U2,U3,U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";4;"TL072";;;
48;"REF**,REF**";"MountingHole_2.2mm_M2";2;"MountingHole_2.2mm_M2";;;
